repository,owner,name,stars,previous,delta,status
nasty-project/nasty,nasty-project,nasty,350,350,0,active
fenio/anylinuxfs-gui,fenio,anylinuxfs-gui,0,190,-190,removed
fenio/bcachefs-wiki,fenio,bcachefs-wiki,0,0,0,removed
fenio/dlna-proxy,fenio,dlna-proxy,0,8,-8,removed
fenio/dotfiles,fenio,dotfiles,0,0,0,removed
fenio/dumb-provisioner,fenio,dumb-provisioner,0,12,-12,removed
fenio/fenio.github.io,fenio,fenio.github.io,0,1,-1,removed
fenio/furman,fenio,furman,0,15,-15,removed
fenio/gh-rmrf,fenio,gh-rmrf,0,2,-2,removed
fenio/ha-addons,fenio,ha-addons,0,17,-17,removed
fenio/homebrew-tap,fenio,homebrew-tap,0,0,0,removed
fenio/homelab,fenio,homelab,0,35,-35,removed
fenio/k3s-synology,fenio,k3s-synology,0,37,-37,removed
fenio/k8s-truenas,fenio,k8s-truenas,0,109,-109,removed
fenio/kerneloops,fenio,kerneloops,0,0,0,removed
fenio/modern-fs-benchmark,fenio,modern-fs-benchmark,0,30,-30,removed
fenio/mongodb-no-avx,fenio,mongodb-no-avx,0,9,-9,removed
fenio/netalchemy,fenio,netalchemy,0,0,0,removed
fenio/omada-controller-no-avx,fenio,omada-controller-no-avx,0,2,-2,removed
fenio/pv-mounter,fenio,pv-mounter,0,149,-149,removed
fenio/scoop-bucket,fenio,scoop-bucket,0,0,0,removed
fenio/setup-k0s,fenio,setup-k0s,0,1,-1,removed
fenio/setup-k3s,fenio,setup-k3s,0,2,-2,removed
fenio/setup-krew,fenio,setup-krew,0,0,0,removed
fenio/setup-kubesolo,fenio,setup-kubesolo,0,7,-7,removed
fenio/setup-microk8s,fenio,setup-microk8s,0,1,-1,removed
fenio/setup-minikube,fenio,setup-minikube,0,1,-1,removed
fenio/setup-talos,fenio,setup-talos,0,0,0,removed
fenio/skadis,fenio,skadis,0,0,0,removed
fenio/terrarium,fenio,terrarium,0,7,-7,removed
fenio/tns-csi,fenio,tns-csi,0,122,-122,removed
fenio/ugly-nas,fenio,ugly-nas,0,64,-64,removed
fenio/wharf,fenio,wharf,0,1,-1,removed
fenio/zod,fenio,zod,0,7,-7,removed
nasty-project/.github,nasty-project,.github,0,0,0,removed
nasty-project/nasty-chart,nasty-project,nasty-chart,0,1,-1,removed
nasty-project/nasty-csi,nasty-project,nasty-csi,0,2,-2,removed
nasty-project/nasty-docs,nasty-project,nasty-docs,0,0,0,removed
nasty-project/nasty-go,nasty-project,nasty-go,0,1,-1,removed
nasty-project/nasty-plugin,nasty-project,nasty-plugin,0,1,-1,removed
nasty-project/nasty-telemetry,nasty-project,nasty-telemetry,0,0,0,removed
nasty-project/nasty-tests,nasty-project,nasty-tests,0,0,0,removed
nasty-project/nasty-top,nasty-project,nasty-top,0,21,-21,removed
tns-project/api_client,tns-project,api_client,0,0,0,removed
tns-project/apps_validation,tns-project,apps_validation,0,0,0,removed
tns-project/audit_rules,tns-project,audit_rules,0,0,0,removed
tns-project/avahi,tns-project,avahi,0,0,0,removed
tns-project/binaries,tns-project,binaries,0,0,0,removed
tns-project/freeipa,tns-project,freeipa,0,0,0,removed
tns-project/grub2,tns-project,grub2,0,0,0,removed
tns-project/ixdiagnose,tns-project,ixdiagnose,0,0,0,removed
tns-project/ixhardware,tns-project,ixhardware,0,0,0,removed
tns-project/licenselib,tns-project,licenselib,0,0,0,removed
tns-project/linux,tns-project,linux,0,0,0,removed
tns-project/midcli,tns-project,midcli,0,0,0,removed
tns-project/middleware,tns-project,middleware,0,0,0,removed
tns-project/nfs-utils,tns-project,nfs-utils,0,0,0,removed
tns-project/nfs4xdr-acl-tools,tns-project,nfs4xdr-acl-tools,0,0,0,removed
tns-project/openssl-fips,tns-project,openssl-fips,0,0,0,removed
tns-project/pam_truenas,tns-project,pam_truenas,0,0,0,removed
tns-project/parted,tns-project,parted,0,0,0,removed
tns-project/py-cryptit,tns-project,py-cryptit,0,0,0,removed
tns-project/py-fenced,tns-project,py-fenced,0,0,0,removed
tns-project/py-libzfs,tns-project,py-libzfs,0,0,0,removed
tns-project/py-nvme,tns-project,py-nvme,0,0,0,removed
tns-project/py-sg3,tns-project,py-sg3,0,0,0,removed
tns-project/py-sgio,tns-project,py-sgio,0,0,0,removed
tns-project/python-netsnmpagent,tns-project,python-netsnmpagent,0,0,0,removed
tns-project/python-truenas-requirements,tns-project,python-truenas-requirements,0,0,0,removed
tns-project/rclone,tns-project,rclone,0,0,0,removed
tns-project/samba,tns-project,samba,0,0,0,removed
tns-project/scale-build,tns-project,scale-build,0,0,0,removed
tns-project/scst,tns-project,scst,0,0,0,removed
tns-project/sedutil,tns-project,sedutil,0,0,0,removed
tns-project/smartmontools,tns-project,smartmontools,0,0,0,removed
tns-project/sssd,tns-project,sssd,0,0,0,removed
tns-project/truenas-installer,tns-project,truenas-installer,0,0,0,removed
tns-project/truenas_connect_utils,tns-project,truenas_connect_utils,0,0,0,removed
tns-project/truenas_crypto_utils,tns-project,truenas_crypto_utils,0,0,0,removed
tns-project/truenas_pwenc,tns-project,truenas_pwenc,0,0,0,removed
tns-project/truenas_pykeyring,tns-project,truenas_pykeyring,0,0,0,removed
tns-project/truenas_pylibvirt,tns-project,truenas_pylibvirt,0,0,0,removed
tns-project/truenas_pylibzfs,tns-project,truenas_pylibzfs,0,0,0,removed
tns-project/truenas_pynetif,tns-project,truenas_pynetif,0,0,0,removed
tns-project/truenas_pyos,tns-project,truenas_pyos,0,0,0,removed
tns-project/truenas_pypam,tns-project,truenas_pypam,0,0,0,removed
tns-project/truenas_pyscstadmin,tns-project,truenas_pyscstadmin,0,0,0,removed
tns-project/truenas_scram,tns-project,truenas_scram,0,0,0,removed
tns-project/truenas_spdk,tns-project,truenas_spdk,0,0,0,removed
tns-project/truenas_verify,tns-project,truenas_verify,0,0,0,removed
tns-project/webui,tns-project,webui,0,0,0,removed
tns-project/zectl,tns-project,zectl,0,0,0,removed
tns-project/zettarepl,tns-project,zettarepl,0,0,0,removed
tns-project/zfs,tns-project,zfs,0,0,0,removed
